site,spectrum_id,running_state,source
Harq_ST1,20251011_19121,ON,cluster
Harq_ST1,20251020_1923,ON,cluster
Harq_ST1,20251118_1033,OFF,cluster
Harq_ST3,HARQST-3 EMI Gen_20250402_1158 – HARQST-3 EMI - GEN HFCT,OFF,cluster
Harq_ST3,HARQST-3 EMI Gen_20250404_1915 – HARQST-3 EMI - GEN HFCT,OFF,cluster
Harq_ST3,HARQST-3 EMI Gen_20250425_1147 – HARQST-3 EMI - GEN HFCT,OFF,cluster
Harq_ST3,HARQST-3 EMI Gen_20250530_1544 – HARQST-3 EMI - GEN HFCT,ON,manual
Harq_ST3,HARQST-3 EMI Gen_20250616_1111 – HARQST-3 EMI - GEN HFCT,ON,manual
Harq_ST3,HARQST-3 EMI Gen_20250713_1931 – HARQST-3 EMI - GEN HFCT,ON,cluster
Harq_ST3,HARQST-3 EMI Gen_20250927_1547 – HARQST-3 EMI - GEN HFCT,ON,manual
Harq_ST3,HARQST-3 EMI Gen_20251019_1117 – HARQST-3 EMI - GEN HFCT,ON,manual
Harq_ST3,HARQST-3 EMI Gen_20251118_1432 – HARQST-3 EMI - GEN HFCT,OFF,cluster
Middletown_GT,20231027_1106,ON,cluster
Middletown_GT,20231027_1917,OFF,cluster
Middletown_GT,20231104_1934,ON,cluster
Middletown_GT,20240330_1959,ON,cluster
Middletown_GT,20250731_1622,OFF,cluster
Middletown_GT,20250731_1926,ON,cluster
Middletown_GT,20250801_1554,ON,cluster
Middletown_ST,20231108_1958,ON,cluster
Middletown_ST,20231118_1908,OFF,cluster
Middletown_ST,20250806_1135,ON,cluster
Millenium_GT1,GT1 Gen 4/13/2025  8:10:02 AM,ON,manual
Millenium_GT1,GT1 Gen 4/13/2025  4:22:04 PM,ON,cluster
Millenium_GT1_step,GT1 EMI Gen 20250429_1019,ON,manual
Millenium_GT1_step,GT1 EMI Gen 20250429_1526,ON,cluster
Millenium_GT1_step,GT1 EMI Gen 20250503_2347,ON,cluster
Millenium_GT1_step,GT1 EMI Gen 20250506_1006,ON,cluster
Millenium_GT1_step,GT1 EMI Gen 20250506_1310,ON,cluster
Millenium_ST1,ST1 GEN 4/13/2025  8:53:48 AM,ON,manual
Millenium_ST1,ST1 GEN 4/13/2025  4:03:30 PM,ON,cluster
Mosaic_Riverview,20251005_1001,ON,manual
Mosaic_Riverview,20251005_1002,ON,cluster
Mosaic_Riverview,20251005_1101,ON,manual
NC2,20250225_1344,ON,cluster
NC2,20250226_0205,ON,cluster
NC2,20250225_1029,ON,cluster
NC2,20250225_2304,ON,manual
NC2,20250226_0105,ON,cluster
NC2,20250225_1237,ON,cluster
OPPD_NC1,20251022_0829,OFF,cluster
OPPD_NC1,20251022_1233,ON,cluster
OPPD_NC1,20251022_2002,ON,cluster
OPPD_NC1,20251023_0122,ON,cluster
OPPD_NC1,20251023_0850,ON,cluster
OPPD_NC1,20251023_0955,ON,cluster
OPPD_NC1,20251023_1414,ON,cluster
OPPD_NC1,20251023_1623,ON,cluster
OPPD_NC1,20251023_1833,ON,cluster
OPPD_NC1,20251024_0206,ON,cluster
OPPD_NC1,20251024_0625,ON,cluster
OPPD_NC1,20251024_0939,ON,cluster
OPPD_NC1,20251024_1712,ON,cluster
OPPD_NC1,20251024_1817,ON,cluster
OPPD_NC1,20251024_1922,ON,cluster
OPPD_NC1,20251025_0046,ON,cluster
OPPD_NC1,20251025_0505,ON,cluster
OPPD_NC1,20251026_0450,ON,cluster
OPPD_NC1,20251027_0852,ON,cluster
OPPD_NC1,20251027_0957,ON,cluster
Prairie_State_2,Neutral_Ground 2/12/24 1305,ON,manual
Prairie_State_2,Neutral_Ground 2/11 1404,ON,cluster
SQN2,SQN NG Unit 2 20250525_0833,OFF,cluster
SQN2,SQN NG Unit 2 20250525_0934,OFF,cluster
SQN2,SQN NG Unit 2 20250525_1439,ON,cluster
SQN2,SQN NG Unit 2 20250525_2247,OFF,cluster
SQN2,SQN NG Unit 2 20250526_0756,ON,cluster
SQN2,SQN NG Unit 2 20250526_1100,ON,cluster
SQN2,SQN NG Unit 2 20250526_1808,ON,cluster
SQN2,SQN NG Unit 2 20250527_0926,ON,cluster
SQN2,SQN NG Unit 2 20250527_1433,ON,cluster
SQN2,SQN NG Unit 2 20250527_1635,ON,cluster
SQN2,SQN NG Unit 2 20250528_0552,ON,cluster
SQN2,SQN NG Unit 2 20250528_1059,ON,cluster
SQN2,SQN NG Unit 2 20250528_1200,ON,cluster
SQN2,SQN NG Unit 2 20250528_1504,OFF,cluster
SQN2,SQN NG Unit 2 20250528_1705,OFF,cluster
Towantic_GT1,20250104_1230 GT1,ON,cluster
Towantic_GT1,20250105_0031 GT1,OFF,cluster
Towantic_GT2,20250105_0434 GT2,ON,cluster
Towantic_GT2,20250112_0855 GT2,OFF,cluster
Towantic_GT2,20250103_0833 GT2,ON,cluster
Towantic_STG,20240518_0825 STG,ON,manual
Towantic_STG,20240620_0516 STG,ON,manual
Towantic_STG,20240621_1055 STG,ON,cluster
Towantic_STG,20241225_1644 STG,ON,manual
Towantic_STG,20250109_1622 STG,ON,cluster
Towantic_STG,20250121_1828 STG,ON,manual
VAN1,VAN1_off_2025-09-15,OFF,cluster
VAN1,VAN1_off_2025-09-17,OFF,cluster
VAN1,VAN1_off_2025-09-20,OFF,cluster
VAN1,VAN1_off_2025-09-23,OFF,cluster
VAN1,VAN1_off_2025-09-26,OFF,cluster
VAN1,VAN1_on_2025-09-16,ON,cluster
VAN1,VAN1_on_2025-09-19,ON,cluster
VAN1,VAN1_on_2025-09-22,ON,cluster
VAN1,VAN1_on_2025-09-23,ON,cluster
VAN1,VAN1_on_2025-09-26,ON,cluster
Van_GT1,20250728_0823,OFF,cluster
Van_GT1,20250728_1224,ON,cluster
Van_GT1,20250728_1625,ON,cluster
Van_GT1,20250729_0834,OFF,cluster
Van_GT1,20250729_1236,ON,cluster
Van_GT1,20250729_1637,ON,cluster
Van_GT1,20251001_1626,ON,cluster
Van_GT1,20251001_1726,ON,cluster
Van_GT1,20251001_1826,ON,cluster
Van_GT1,20251001_1926,ON,cluster
Van_GT1,20251001_2027,ON,cluster
Van_GT1,20251001_2127,ON,cluster
Van_GT1,20251001_2227,ON,cluster
Van_GT1,20251001_2327,ON,cluster
Van_GT1,20251002_0028,ON,cluster
Van_GT1,20251002_0128,ON,cluster
Van_GT1,20251002_0429,ON,cluster
Van_GT1,20251002_0830,ON,cluster
Van_GT1,20251002_1031,ON,cluster
Van_GT1,20251002_1131,ON,cluster
Van_GT2,20250403_1631,ON,manual
Van_GT2,20250405_1653,ON,manual
Van_GT2,20250407_1226,ON,manual
Van_GT2,20250407_1628,ON,manual
Van_GT2,20250617_1226,ON,manual
Van_GT2,20250617_1629,ON,manual
Van_GT2,20250727_1245,ON,cluster
Van_GT2,20250718_1648,ON,manual
Van_GT2,20250728_0851,OFF,cluster
Van_GT2,20250728_1654,ON,manual
Van_GT2,20250814_1253,OFF,cluster
Van_GT2,20250814_1659,ON,cluster
Van_GT2,20250925_1228,ON,manual
Van_GT2,20250925_1630,ON,manual
Van_GT2,20251001_1600,ON,manual
Van_GT2,20251003_0810,ON,cluster
Van_GT2,20251017_1712,ON,manual
Van_GT2,20251017_1812,ON,manual
Van_GT2,20251017_1912,ON,manual
Van_GT2,20251017_2013,ON,manual
Van_GT3,20250409_0817,OFF,cluster
Van_GT3,20250615_0814,OFF,cluster
Van_GT3,20250620_0812,OFF,cluster
Van_GT3,20250622_0830,ON,cluster
Van_GT3,20250701_0850,OFF,cluster
Van_GT3,20250701_1251,OFF,cluster
Van_GT3,20250711_1633,OFF,cluster
Van_GT3,20250718_1616,OFF,cluster
Van_GT3,20250730_1613,OFF,cluster
Van_GT3,20250803_1606,OFF,cluster
Van_GT3,20250814_1247,OFF,cluster
Van_GT3,20250818_162850,OFF,cluster
Van_GT3,20250903_1651,OFF,cluster
Van_GT3,20250919_1653,OFF,cluster
Van_GT3,20250920_1615,OFF,cluster
Van_GT3,20250923_1622,OFF,cluster
Van_GT3,20251004_0812,ON,cluster
Van_GT3,20251004_1214,ON,cluster
Van_GT3,20251005_1623,OFF,cluster
Van_GT4,20250616_0812,OFF,cluster
Van_GT4,20250616_1212,OFF,cluster
Van_GT4,20250616_1613,OFF,cluster
Van_GT4,20250619_0826,OFF,cluster
Van_GT4,20250619_1227,OFF,cluster
Van_GT4,20250619_1628,OFF,cluster
Van_GT4,20250726_1219,OFF,cluster
Van_GT4,20250726_1621,OFF,cluster
Van_GT4,20250731_0815,OFF,cluster
Van_GT4,20250731_1218,ON,cluster
Van_GT4,20250731_1620,OFF,cluster
Van_GT4,20250804_0825,OFF,cluster
Van_GT4,20250804_1226,OFF,cluster
Van_GT4,20250804_1627,OFF,cluster
Van_GT4,20250815_0847,OFF,cluster
Van_GT4,20250815_1248,OFF,cluster
Van_GT4,20250815_1649,OFF,cluster
Van_GT4,20250903_0814,OFF,cluster
Van_GT4,20251021_1825,OFF,cluster
Van_GT4,20251021_2227,OFF,cluster
WBN2,20251019_1250,OFF,cluster
WBN2,20251022_1733,ON,cluster
WBN2,20251023_1601,ON,cluster
WBN2,20251102_0839,ON,cluster
